1,Programer,BATAVIA NET,Web / IT Programmer,batavianet.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,Jakarta Utara,Part Time,Karyawan Tetap,Middle,S1,-,27,"Candidate must possess at least a Diploma, Bachelor's Degree, Master's Degree Computer Science/Information Technology or equivalent","Having skill in PHP / ASP programming, HTML, Javascript, CSS and My SQL","Knowledge of AJAX, Framework Programming ( Code Igniter, Smarty, DNN, etc ), ASP.Net, C#, Considered as added value",Able to work both in a team and individually,Fresh graduate are welcome to apply if meet the requirement,,,,,12
2,Programer,"AIVON MEDIATAMA, PT",Senior .Net Programmer,alvonmediatma.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,"Jl. Kebon Raya 3 No. 8, Duri Kepa, Jakarta Barat 11510 ",Part Time,Karyawan Kontrak,Middle,S1,-,Fresh Graduate,Male / Female,Active person & team work player ,"Has a good knowledge & experience in: MVC, PHP frontend, Codeigniter, HTML,  Javascript, CSS, Photoshop, and know grid in framework.",Keep update knowledge on new technology and contribute new ideas to the team for better system performance.Keep update your Knowledge on new technology and contribute new ideas to the team for better system performance,,,,,,11
3,Programer,Webcenter Sentra Solusindo PT,IT Programmer,webcenter.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,Jakarta Pusat,Full Time,Karyawan Tetap,Middle,S1,-,Max 30,"Menguasai HTML,PHP,MySQL dan Query DB",Jurusan Informatika,Menyukai Programming,Pengalaman kerja minimal 1 tahun,Mampu bekerja mandiri maupun team,Sanggup bekerja keras dan disiplin,Nilai tambah jika terbiasa dengan Open Source,,,12
4,Programer,Indonesia Media Televisi PT,IT Programmer,imt.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,"Gd. Berita Satu Plaza Lantai 2 , jl.gatot subroto kav 35-36 , kuningan timur , Setiabudi. Jakarta Selatan 12950 ",Full Time,Karyawan Tetap,Senior,S1,3,Max 30,Information Technology (reputable university),Exp. 2 years in the related position,"Fluent in English, both speaking & writin",Understand Ruby / php / java script,"Familiar with Windows/Linux troubleshooting skills, need to have experience with different Windows and UNIX/LINUX utilities.","Requires extensive administrative knowledge with MySQL, MS SQL","Requires good knowledge with Web Server IIS, Apache","Proficient scripting skills in Powershell, Perl, Python, vbscript, PHP, Wordpress or shell",,15
5,Programer,Lancartama Sejati PT,Web - Mobile Programmer,lancartama.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,"Jl Pakubuwono VI no 99 A-B (D/H) no 82, Kel . Kebayoran Baru Jakarta Selatan 12120",Full Time,Karyawan Tetap,Senior,S1,-,Max 35,"Personality discipline, honest, loyal and integrity",Minimum 4-5 years of relevant working experience,Candidate must Computer Science/ Information Technology or equivalent,"Must be familiar with PHP, XML, CSS, JavaScript & MySQL, HTML5 & CSS3, Android Programming, Web Programming, Mobile Programming","Advance knowledge in : Jquery, Json, Ajax, JavaScript, HTML, HTML5, CSS3",Knowing about mobile development (Android). Good understanding about application software development (web platform and mobile),Good analitycal and problem solving skill,"Experience with Xcode (iOS) & ADT, Java Fundamental (Android) or Etc is plus",Fresh graduate will be considered upon interview,12
6,Programer,Propertindo Prima Perkasa PT,PHP Programmer,p3.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,Jakarta Utara,Full Time,Karyawan Tetap,Junior,S1,-,24,"We don't need your education tittle, just show your amazing skill",Have a knowledge or at least 2 year experience in Web Programming,"Good knowledge for HTML5, CSS3, CSS Framework, PHP Framework ( CI welcome ), Javascript, MySQL query and jQuery",Creative and inventive in problem solving,Good knowledge in OOP is a plus,"Independent, Dynamic, Pleasant personality and well groomed",Positive attitude with the ability to work within tight deadlines,,,12
7,Programer,Mulia Multi Finance,IT Programmer,a1.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,Jakarta Utara,Full Time,Karyawan Tetap,Senior,S1,3,Max 35,Have a good understanding of Windows Operating System,Have a good understanding of Windows Server Operating System,"Have a very good knowledge in Programming Language (C# / VB.NET / Android Application / PHP / HTML, etc)","Have a very good knowledge in Database system (MySQL / SQL Server / Oracle / DBMS, etc) especially SQL Syntax","Hard worker, fast learner, and willing to work over time (if necessary)","Passionate, friendly, decent, and honest is",Can work under pressure,"Hard worker, fast learner, and willing to work over time (if necessary)",Computer Science / Information Technology,14
8,Programer,ATI Business Group,Java Programmer,ati.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,"Jalan Tj Duren Brt I 27, Tanjung Duren, Grogol Petamburan ",Full Time,Karyawan Kontrak,Junior,S1,-,25,Required languange: English,"Experience in Spring, Hibernate and Java Technology Platform/Java Enterprise Edition (JEE)","Good knowledge in Mysql, Oracle, SQL Server or DB2","Should be highly analytical and technologically minded, with strong problem-solving skills and willing to work as part of a team",Develop creative solutions for complex and abstract problems,"Gathering and documenting user requirements, analyzing data and conducting unit, system, performance and quality assurance testing",Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review,,,10
9,Programer,PT Prodigy Infinitech,PHP Programmer,prodigy.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,"Wisma ADR, Jl Pluit Raya 1 No 1 Pluit Jakarta Utara",Full Time,Karyawan Kontrak,Junior,D3,-,25,Have a knowledge or at least 2 year experience in Web Programming,"Good knowledge for HTML5, CSS3, CSS Framework, PHP Framework ( CI welcome ), Javascript, MySQL query and jQuery",Creative and inventive in problem solving,Good knowledge in OOP is a plus,"Independent, Dynamic, Pleasant personality and well groomed",Positive attitude with the ability to work within tight deadlines,Object oriented programming skills,,,9
10,Programer,PT. MUGI,IT Programmer,mugi.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,Jl.Raya Tengah no.39,Full Time,Karyawan Tetap,Junior,S1,-,24,Desktop Programming (VB.NET),Web Programming (PHP),Basic Database Skill (Acess/Ms. SQL/My SQL),Fresh graduate dengan kemampuan programming,Bersedia dinas ke luar kota,,,,,12
